,x1,x2,difference
0,-1.7513092726735167,-1.2235128273001508,1|0
1,-6.056343504526911,-2.145937244312341,0|0
2,-3.269184741350643,-4.603077393760565,0|0
3,-1.51037647156704,-1.5224138017902056,1|0
4,-4.361921807885803,-0.4987407509548202,0|0
5,-2.075784125910052,-4.120281418995308,0|0
6,-5.644834408027015,-0.7681087093368313,0|0
7,-2.732461115329125,-2.1997825346280617,0|0
8,-5.344856415100871,-1.7557168358427435,0|0
9,-4.9155725065688145,1.1656304274316445,0|1
10,-7.2012383544258425,2.2894474196792283,1|1
11,-3.196818558814409,1.0049886778037365,1|1
12,-3.198288101471176,-1.3674557183486662,0|0
13,-5.245780451037296,-1.8715388685181376,0|0
14,-5.535776159252032,1.060710933476372,0|1
15,-6.3833215034506186,-0.7935070537119547,0|0
16,-6.374345400239199,-1.6904112829974391,0|0
17,-6.342492261673638,-0.02532919783780272,1|0
18,-7.234620697270556,0.4688313956341843,1|1
19,-1.680395645780259,1.4840883211546712,1|1
20,-5.38367110472323,-1.7752579281696725,0|0
21,-6.494316587501675,3.384909202055493,1|1
22,-4.898384490447942,-1.2739912931387067,0|0
23,-4.618169030665068,4.200510272957684,1|1
24,-4.759682095036742,1.2344062194148384,0|1
25,-4.399659360088345,-0.7044996929870373,0|0
26,-7.28503639604428,-0.698685444825755,1|0
27,-5.417788466749556,1.1732463823643953,0|1
28,-3.32203317225099,1.8622041626071146,1|1
29,-4.428825349491483,1.7702823285414562,0|1
30,-6.508795881993306,2.5057363104665757,1|1
31,-3.9741403591639823,-0.5961856702054313,0|0
32,-4.022963706925006,-0.15114342604211145,0|1
33,-2.736741225097146,3.0396336328443976,1|1
34,-0.6288491869336772,-2.7929926709762753,0|0
35,-7.888227610859179,-1.0089317258929025,1|0
36,-4.679925861104339,1.7523378422324498,0|1
37,-4.368730105516789,-4.044402431648006,0|0
38,-5.612408025256744,1.6559492852144924,0|1
39,-4.539810529271233,1.5240223606240495,0|1
40,-5.444656285220718,-0.4015161378599949,0|0
41,-4.626877218023432,0.8201032944165126,0|1
42,-4.6034005597464605,0.23801729161491764,0|1
43,-6.341324572578062,0.7551275726418388,1|1
44,-4.756357458017126,2.2589678158238393,0|1
45,-2.602164240196986,0.3703128349678877,1|1
46,-5.750569900180229,-1.2774608149084448,0|0
47,-4.153011291871774,0.15468013669711883,0|1
